Id,Nom,Cle,Description,type,Source
10,Anneau d'influence sur les animaux,anneau-d-influence-sur-les-animaux ,"Cet anneau possède 3 charges, et il récupère 1d3 charges dépensées chaque jour à l'aube. Tant que vous êtes équipé de cet anneau, vous pouvez utiliser une action pour dépenser 1 de ses charges pour lancer l'un des sorts suivants :

","Anneau, rare",Dungeon Master´s Guide (SRD)
11,Anneau d'invisibilité,anneau-d-invisibilite ,"Lorsque vous portez cet anneau, vous pouvez devenir invisible par une action. Tout ce que vous portez ou transportez devient invisible avec vous. Vous restez invisible jusqu'à ce que l'anneau soit retiré, jusqu'à ce que vous attaquiez ou lanciez un sort, ou jusqu'à ce que vous utilisiez une action bonus pour redevenir visible.

","Anneau, légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
12,Anneau de barrière mentale,anneau-de-barriere-mentale ,"Tant que vous êtes équipé de cet anneau, vous êtes immunisé aux magies qui permettent à d'autres créatures de lire dans vos pensées, de déterminer si vous êtes en train de mentir, de connaître votre alignement ou de connaître votre type de créature. Les créatures ne peuvent communiquer avec vous par télépathie que si vous le leur permettez.

","Anneau, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
13,Anneau de chaleur constante,anneau-de-chaleur-constante ,"Tant que vous êtes équipé de cet anneau, vous avez la résistance aux dégâts de froid. De plus, vous et tout ce que vous portez et transportez êtes insensibles aux effets des basses températures, jusqu'à un négatif maximum de -45°C.

","Anneau, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
14,Anneau de contrôle des élémentaires,anneau-de-controle-des-elementaires ,"Cet anneau est relié à l'un des quatre plans Élémentaires. Le MD choisit ou détermine de manière aléatoire le plan en question.

","Anneau, légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
15,Anneau de convocation de djinn,anneau-de-convocation-de-djinn ,"Tant que vous êtes équipé de cet anneau, vous pouvez prononcer son mot de commande en utilisant une action pour invoquer un djinn particulier depuis le plan élémentaire de l'Air. Le djinn apparaît dans un espace inoccupé de votre choix dans un rayon de 36 mètres autour de vous. Il reste aussi longtemps que vous vous concentrez (comme lorsque vous vous concentrez sur un sort), pour une durée maximale de 1 heure, ou jusqu'à ce que ses points de vie tombent à 0. Puis il retourne dans son plan natif.

","Anneau, légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
16,Anneau de feu d'étoiles,anneau-de-feu-d-etoiles ,"Lorsque vous portez cette bague dans une zone de lumière faible ou de ténèbres, vous pouvez jeter <a href=""https://www.aidedd.org/dnd/sorts.php?vf=lumieres-dansantes"">lumières dansantes</a> et <a href=""https://www.aidedd.org/dnd/sorts.php?vf=lumiere"">lumière</a> depuis l'anneau à volonté. Lancer un de ces deux sorts depuis l'anneau nécessite une action.

","Anneau, très rare (nécessite un lien de nuit en extérieur)",Dungeon Master´s Guide (SRD)
17,Anneau de feuille morte,anneau-de-feuille-morte ,"Si vous tombez alors que vous portez cet anneau, vous descendez de 18 mètres par round et ne prenez aucun dégât de chute.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
18,Anneau de marche sur l'eau,anneau-de-marche-sur-l-eau ,"Tant que vous portez cet anneau, vous pouvez vous déplacer et rester sur les surfaces liquides comme si vous vous trouviez sur la terre ferme.

","Anneau, peu commun",Dungeon Master´s Guide (SRD)
19,Anneau de nage,anneau-de-nage ,"Vous avez une vitesse de nage de 12 mètres lorsque vous portez cet anneau.

","Anneau, peu commun",Dungeon Master´s Guide (SRD)
20,Anneau de protection,anneau-de-protection ,"Vous obtenez un bonus de +1 à la CA et aux jets de sauvegarde lorsque vous portez cet anneau.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
21,Anneau de rayons X,anneau-de-rayons-x ,"Tant que vous êtes équipé de cet anneau, vous pouvez utiliser une action pour prononcer son mot de commande. Lorsque vous le faites, vous pouvez voir à l'intérieur et au travers des matières solides pendant 1 minute. Cette vision possède un rayon de 9 mètres. Pour vous, les objets solides se trouvant dans ce rayon vous semblent transparents et n'interdisent pas à la lumière de les traverser. Cette vision peut pénétrer jusqu'à 30 cm de pierre, 2,50 cm de métal commun ou jusqu'à 90 cm de bois ou de terre. Des substances plus denses bloquent la vision, comme le ferait une fine feuille de plomb.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
22,Anneau de régénération,anneau-de-regeneration ,"Tant que vous êtes équipé de cet anneau, vous récupérez 1d6 points de vie toutes les 10 minutes, à condition qu'il vous reste au moins 1 point de vie. Si vous perdez un membre, l'anneau fait repousser la partie manquante, qui redevient alors fonctionnelle, en 1d6 + 1 jours, à condition que vous ayez au moins 1 point de vie pendant toute cette période.

","Anneau, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
23,Anneau de renvoi des sorts,anneau-de-renvoi-des-sorts ,"Tant que vous êtes équipé de cet anneau, vous avez un avantage aux jets de sauvegarde contre les sorts dont vous êtes la cible unique (mais pas les sorts de zone). De plus, si vous obtenez un 20 naturel à votre jet de sauvegarde contre un sort de niveau 7 ou inférieur, le sort n'a aucun effet sur vous et cible son propre lanceur à la place, en utilisant le niveau d'emplacement de sort, le DD au jet de sauvegarde des sorts, le bonus à l'attaque du sort, et la caractéristique d'incantation de son lanceur originel.

","Anneau, légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
24,Anneau de résistance,anneau-de-resistance ,"Vous obtenez la résistance à un type de dégâts tant que vous portez cet anneau. La gemme sur l'anneau indique le type, lequel est choisi par le MD ou déterminé au hasard.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
25,Anneau de résistance au poison,anneau-de-resistance-au-poison ,"Vous possédez la résistance aux dégâts de poison tant que vous portez cet anneau, lequel possède une améthyste sertie.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (BR)
26,Anneau de saut,anneau-de-saut ,"Lorsque vous portez cet anneau, vous pouvez lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=saut"">saut</a> depuis l'anneau par une action bonus, à volonté, mais vous ne pouvez cibler que vous-même.

","Anneau, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
27,Anneau de stockage de sort,anneau-de-stockage-de-sort ,"Cet anneau garde les sorts qu'on lui a jetés, les conservant jusqu'à ce que l'utilisateur qui lui est lié les utilise. L'anneau peut stocker jusqu'à l'équivalent de 5 niveaux de sorts à la fois. Lorsqu'on le trouve, il contient 1d6 - 1 niveaux de sorts mémorisés, choisis par le MD.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
28,Anneau de télékinésie,anneau-de-telekinesie ,"Lorsque vous portez cet anneau, vous pouvez lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=telekinesie"">télékinésie</a> à volonté, mais vous ne pouvez cibler que des objets qui ne sont pas portés ou transportés.

","Anneau, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
29,Anneau de triple souhait,anneau-de-triple-souhait ,"Lorsque vous portez cet anneau, vous pouvez utiliser une action pour dépenser une de ses 3 charges pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=souhait"">souhait</a> depuis l'anneau. L'anneau devient non magique lorsque vous utilisez la dernière charge.

","Anneau, légendaire",Dungeon Master´s Guide (SRD)
30,Anneau du bélier,anneau-du-belier ,"Cet anneau possède 3 charges, et il récupère 1d3 charges dépensées chaque jour à l'aube. Tant que vous êtes équipé de cet anneau, vous pouvez utiliser une action pour dépenser 1 à 3 de ses charges pour effectuer une attaque à distance avec un sort contre une créature que vous pouvez voir et qui se trouve à 18 mètres ou moins de vous. L'anneau fait apparaître la tête d'un bélier fantomatique et effectue son jet d'attaque avec un bonus de +7. Si le coup touche, pour chaque charge que vous avez dépensée, la cible subit 2d10 dégâts de force et est repoussée de vous sur 1,50 mètre.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
31,Arc du serment,arc-du-serment ,"Quand vous encochez une flèche à la corde de cet arc, il murmure en elfique : « Prompte défaite à mes ennemis ». Lorsque vous faites une attaque à distance avec cet arc vous pouvez dire en tant que phrase de commande : « Prompte mort à ceux qui m'ont fait du tort ». La cible de votre attaque devient votre ennemi juré jusqu'à ce qu'il meure ou jusqu'à l'aube sept jours plus tard. Vous ne pouvez avoir qu'un seul ennemi juré à la fois. Quand votre ennemi juré meurt, vous pouvez en choisir un nouveau après la prochaine aube.

","Arme (arc long), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
32,"Arme +1, +2 ou +3",arme-1-2-ou-3 ,"Vous avez un bonus aux jets d'attaque et de dégâts effectués avec cette arme magique. Le bonus est déterminé par la rareté de l'arme.

","Arme (toutes), peu commun (+1) rare (+2) ou très rare (+3)",Dungeon Master´s Guide (SRD)
33,Arme vicieuse,arme-vicieuse ,"Lorsque vous obtenez un 20 naturel à votre jet d'attaque avec cette arme magique, votre coup critique inflige 7 dégâts supplémentaires du type correspondant à l'arme.

","Arme (toutes), rare",Dungeon Master´s Guide (SRD)
34,Arme vigilante,arme-vigilante ,"Cette arme magique vous prévient du danger. Tant que cette arme se trouve sur vous, vous avez un avantage aux jets d'initiative. De plus, vous et tous vos compagnons dans un rayon de 9 mètres autour de vous ne pouvez pas être surpris, sauf lorsque vous êtes rendu incapable d'agir pour une autre raison qu'un sommeil non magique. L'arme vous réveille vous et vos compagnons se trouvant à portée si l'un de vous est en train de dormir d'un sommeil naturel lorsqu'un combat débute.

","Arme (toutes), peu commun (nécessite un lien)",Dungeon Master´s Guide
35,"Armure +1, +2 ou +3",armure-1-2-ou-3 ,"Lorsque vous portez cette armure, vous obtenez un bonus à la CA. Le bonus est déterminé par sa rareté.

","Armure (légère intermédiaire ou lourde), rare (+1) très rare (+2) ou légendaire (+3)",Dungeon Master´s Guide (SRD)
36,Armure d'adamantium,armure-d-adamantium ,"Cette armure est renforcée par de l'adamantium, l'une des plus robustes substances au monde. Lorsque vous la portez, tout coup critique contre vous devient un coup normal.

","Armure (intermédiaire ou lourde mais pas de peau), peu commun",Dungeon Master´s Guide (SRD)
37,Armure d'écailles de dragon,armure-d-ecailles-de-dragon ,"Une armure d'écailles de dragon est fabriquée à partir des écailles d'une sorte de dragon. Parfois les dragons récoltent les écailles qu'ils ont perdues et les offrent aux humanoïdes. Dans d'autres cas, des chasseurs écorchent avec soin et préservent la peau écailleuse des dragons morts. Quoi qu'il en soit, une armure d'écailles de dragon est un objet très précieux et très apprécié.

","Armure (armure d'écailles), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
38,Armure d'invulnérabilité,armure-d-invulnerabilite ,"Vous avez une résistance contre les dégâts non magiques tant que vous portez cette armure. De plus, vous pouvez utiliser une action pour vous immuniser aux dégâts non magiques pendant 10 minutes ou jusqu'à ce que vous ne portiez plus cette armure. Une fois que cette action spéciale est utilisée, elle ne peut être réutilisée avant la prochaine aube.

","Armure (harnois), légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
39,Armure de cuir clouté enchantée,armure-de-cuir-cloute-enchantee ,"Lorsque vous portez cette armure, vous obtenez un bonus de +1 à la CA. Vous pouvez également utiliser une action bonus pour prononcer le mot de commande de l'armure et faire que celle-ci prenne l'apparence de vêtements ou d'un autre type d'armure. Vous décidez l'apparence, les couleurs et le style, mais le poids et le volume restent les mêmes. L'illusion dure jusqu'à ce que vous utilisiez cette propriété de nouveau, ou que vous ôtiez l'armure.

","Armure (cuir clouté), rare",Dungeon Master´s Guide (SRD)
40,Armure de matelot,armure-de-matelot ,"Lorsque vous portez cette armure, vous obtenez une vitesse de nage égale à votre vitesse de marche. De plus, chaque fois que vous commencez votre tour sous l'eau avec 0 point de vie, l'armure vous fait remonter vers la surface de 18 mètres. L'armure est ornée de motifs de poissons et de coquillages.

","Armure (légère intermédiaire ou lourde), peu commun",Dungeon Master´s Guide (BR)
41,Armure de mithral,armure-de-mithral ,"Le mithral est un métal souple et léger. Une chemise de mailles ou une cuirasse en mithral peuvent être portées sous des vêtements normaux. Si l'armure impose normalement un désavantage aux jets de Dextérité (Discrétion) ou a un prérequis de Force, la version en mithral de l'armure ne l'a pas.

","Armure (intermédiaire ou lourde mais pas de peau), peu commun",Dungeon Master´s Guide (SRD)
42,Armure de résistance,armure-de-resistance ,"Vous avez la résistance à un type de dégâts tant que vous êtes équipé de cette armure. Le MD choisit le type de dégâts ou le détermine aléatoirement grâce à la table ci-dessous.

","Armure (légère intermédiaire ou lourde), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
43,Armure de vulnérabilité,armure-de-vulnerabilite ,"Tant que vous portez cette armure, vous avez une résistance contre l'un des types de dégâts suivants : contondant, perforant ou tranchant. Le MD choisit le type ou le détermine aléatoirement.

","Armure (harnois), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
44,Armure démoniaque,armure-demoniaque ,"Lorsque vous portez cette armure, vous gagnez un bonus de +1 à la CA, et vous pouvez comprendre et parler l'abyssal. En outre, les gantelets griffus de l'armure transforment vos attaques à mains nues en armes magiques qui infligent des dégâts tranchants, avec un bonus de +1 aux jets d'attaque et de dégâts et un dé de dégâts de 1d8.

","Armure (harnois), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
45,Armure fumante,armure-fumante ,"Des volutes de fumée inoffensive et inodore s'élèvent de cette armure lorsqu'elle est portée.

","Armure (toutes), commun",Xanathar´s Guide to Everything
46,Armure rapide,armure-rapide ,"Vous pouvez retirer cette armure par une action.

","Armure (légère intermédiaire ou lourde), commun",Xanathar´s Guide to Everything
47,Armure rutilante,armure-rutilante ,"Cette armure ne se salit jamais.

","Armure (intermédiaire ou lourde), commun",Xanathar´s Guide to Everything
48,Baguette d'éclairs,baguette-d-eclairs ,"Cette baguette possède 7 charges. Si vous la tenez, vous pouvez utiliser une action pour dépenser 1 ou plusieurs charges et lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=eclair"">éclair</a> (sauvegarde DD 15). Avec 1 charge, vous lancez la version de niveau 3 du sort. Vous pouvez augmenter le niveau de l'emplacement de sort de un pour chaque charge supplémentaire que vous dépensez.

","Baguette, rare (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
49,Baguette d'Orcus,baguette-d-orcus ,"L'épouvantable Baguette d'Orcus est la plupart du temps aux côtés d'Orcus lui-même. L'objet magique, aussi maléique que son créateur, partage les objectifs du seigneur démon, en particulier celui de tuer tout être vivant et d'enchaîner le Plan matériel à la non-vie. Orcus permet parfois à la baguette de le quitter. Lorsque cela arrive, elle apparaît par magie à un endroit où son maître a ressenti l'opportunité d'accomplir l'un de ses sombres desseins.

","Baguette, artéfact (nécessite un lien)",Dungeon Master´s Guide
50,Baguette de boules de feu,baguette-de-boules-de-feu ,"Cette baguette possède 7 charges. Si vous la tenez, vous pouvez utiliser une action pour dépenser 1 ou plusieurs charges et lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=boule-de-feu"">boule de feu</a> (sauvegarde DD 15). Avec 1 charge, vous lancez la version de niveau 3 du sort. Vous pouvez augmenter le niveau de l'emplacement de sort de un pour chaque charge supplémentaire que vous dépensez.

","Baguette, rare (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
51,Baguette de chef d'orchestre,baguette-de-chef-d-orchestre ,"Cette baguette possède 3 charges. Lorsque vous la tenez, vous pouvez utiliser une action pour dépenser 1 charge et créer une musique orchestrale en l'agitant. La musique peut être entendue sur une portée de 18 mètres et se termine lorsque vous arrêtez d'agiter la baguette. La baguette récupère toutes les charges dépensées chaque jour à l'aube. Si vous dépensez la dernière charge de la baguette, lancez un d20. Sur un résultat de 1, un son de tuba triste se joue alors pendant que la baguette tombe en poussière et est détruite.

","Baguette, commun",Xanathar´s Guide to Everything
52,Baguette de détection de l'ennemi,baguette-de-detection-de-l-ennemi ,"Cette baguette possède 7 charges. Lorsque vous la tenez, vous pouvez utiliser une action pour dépenser 1 charge et prononcer son mot de commande. Pendant 1 minute, vous connaissez la direction de la créature hostile la plus proche de vous dans un rayon de 18 mètres, mais pas sa distance. La baguette détecte la présence de créatures hostiles cachées, invisibles, éthérées ou déguisées, de même que celles en pleine vue. L'effet cesse si vous ne tenez plus la baguette.

","Baguette, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
53,Baguette de détection de la magie,baguette-de-detection-de-la-magie ,"Cette baguette possède 3 charges. Tant que vous tenez cette baguette, vous pouvez dépenser 1 charge au prix d'une action pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=detection-de-la-magie"">détection de la magie</a> depuis la baguette. La baguette récupère 1d3 charges dépensées chaque jour à l'aube.

","Baguette, peu commun",Dungeon Master´s Guide (SRD)
54,Baguette de métamorphose,baguette-de-metamorphose ,"Cette baguette possède 7 charges. Si vous la tenez, vous pouvez utiliser une action pour dépenser 1 de ses charges et jeter le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=metamorphose"">métamorphose</a> (sauvegarde DD 15).

","Baguette, très rare (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
55,Baguette de paralysie,baguette-de-paralysie ,"Cette baguette possède 7 charges. Si vous la tenez, vous pouvez utiliser une action pour dépenser 1 de ses charges et lancer un fin rayon bleu du bout de la baguette vers une créature que vous pouvez voir à 18 mètres ou moins de vous. La cible doit réussir un jet de sauvegarde de Constitution DD 15 ou être paralysée pour 1 minute. À la fin de chacun de ses tours, la cible peut faire refaire un jet de sauvegarde, mettant fin à l'effet pour elle-même en cas de réussite.

","Baguette, rare (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
56,Baguette de peur,baguette-de-peur ,"Cette baguette possède 7 charges pour les propriétés suivantes. Elle récupère 1d6 + 1 charges dépensées chaque jour à l'aube. Lorsque vous dépensez la dernière charge de la baguette, lancez un d20. Sur un 1, la baguette tombe en cendre et est détruite.

","Baguette, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
57,Baguette de projectiles magiques,baguette-de-projectiles-magiques ,"Cette baguette possède 7 charges. Tant que vous la tenez, vous pouvez utiliser une action pour dépenser de 1 ou plus de ses charges pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=projectile-magique"">projectile magique</a> depuis la baguette. Pour 1 charge, vous lancez le sort comme si vous utilisiez un emplacement de sort de niveau 1, et vous augmentez le niveau d'emplacement de sort de un pour chaque charge additionnelle dépensée.

","Baguette, peu commun",Dungeon Master´s Guide (SRD)
58,Baguette de pyrotechnicien,baguette-de-pyrotechnicien ,"Cette baguette possède 7 charges. Lorsque vous la tenez, vous pouvez utiliser une action pour dépenser 1 charge et créer un éclat inoffensif de lumière multicolore à un point que vous pouvez voir dans un rayon de 18 mètres autour de vous. L'éclat de lumière est accompagné d'un crépitement qui peut être entendu jusqu'à 90 mètres de distance. La lumière est aussi vive qu'une flamme de torche mais ne dure qu'une seconde. La baguette récupère 1d6 + 1 charges dépensées chaque jour à l'aube. Si vous dépensez la dernière charge de la baguette, lancez un d20. Sur un résultat de 1, la baguette éclate dans un spectacle pyrotechnique inoffensif et est détruite.

","Baguette, commun",Xanathar´s Guide to Everything
59,Baguette de toile d'araignée,baguette-de-toile-d-araignee ,"Cette baguette possède 7 charges. Si vous la tenez, vous pouvez utiliser une action pour dépenser 1 de ses charges et jeter le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=toile-d-araignee"">toile d'araignée</a> (sauvegarde DD 15).

","Baguette, peu commun (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
60,Baguette des entraves,baguette-des-entraves ,"Cette baguette possède 7 charges pour les propriétés suivantes. Elle récupère 1d6 + 1 charges dépensées chaque jour à l'aube. Lorsque vous dépensez la dernière charge, lancez 1d20. Sur un 1, la baguette tombe en cendre et est détruite.

","Baguette, rare (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
61,Baguette des merveilles,baguette-des-merveilles ,"Cette baguette possède 7 charges. Tant que vous la portez, vous pouvez utiliser une action pour dépenser 1 de ses charges et choisir une cible se trouvant à 36 mètres de vous. La cible peut être une créature, un objet, ou un point dans l'espace. Lancez un d100 et consultez la table qui suit pour découvrir ce qui survient.

","Baguette, rare (nécessite un lien avec un lanceur de sorts)",Dungeon Master´s Guide (SRD)
62,Baguette des secrets,baguette-des-secrets ,"Cette baguette possède 3 charges. Si vous la tenez, vous pouvez utiliser une action pour dépenser 1 de ses charges et si un piège ou une porte secrète se trouve dans un rayon de 9 mètres autour de vous, la baguette tremble et pointe vers le plus proche de vous. La baguette récupère 1d3 charges dépensées chaque jour à l'aube.

","Baguette, peu commun",Dungeon Master´s Guide (SRD)
63,Baguette du grincheux,baguette-du-grincheux ,"Cette baguette possède 3 charges. Lorsque vous la tenez, vous pouvez utiliser une action pour dépenser 1 charge et cibler un humanoïde que vous pouvez voir à 9 mètres ou moins de vous. La cible doit réussir un jet de sauvegarde de Charisme DD 10 ou être forcée d'être grincheux pendant 1 minute. La baguette récupère toutes les charges dépensées chaque jour à l'aube.

","Baguette, commun",Xanathar´s Guide to Everything
64,Baguette du jovial,baguette-du-jovial ,"Cette baguette possède 3 charges. Lorsque vous la tenez, vous pouvez utiliser une action pour dépenser 1 charge et cibler un humanoïde que vous pouvez voir à 9 mètres ou moins de vous. La cible doit réussir un jet de sauvegarde de Charisme DD 10 ou être forcée de sourire pendant 1 minute. La baguette récupère toutes les charges dépensées chaque jour à l'aube.

","Baguette, commun",Xanathar´s Guide to Everything
65,"Baguette du mage de guerre +1, +2 ou +3",baguette-du-mage-de-guerre-1-2-ou-3 ,"Lorsque vous tenez cette baguette, vous gagnez un bonus aux jets d'attaque des sorts. Le bonus est déterminé par la rareté de la baguette. En outre, vous ignorez les abris partiels lorsque vous effectuez une attaque avec un sort.

","Baguette, peu commun (+1) rare (+2) ou très rare (+3) (nécessite un lien par un lanceur de sorts)",Dungeon Master´s Guide (SRD)
66,Balai volant,balai-volant ,"Ce balai de bois pèse 1,5 kg et ressemble à un balai normal jusqu'à ce que vous l'enfourchiez à califourchon et prononciez son mot de commande. Il se met alors à planer et peut être chevauché dans les airs. Sa vitesse de vol est de 15 mètres. Il peut porter 200 kg, mais s'il en transporte plus de 100, sa vitesse est limitée à 9 mètres. Le balai cesse de planer une fois que vous atterrissez.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
67,Bandeau d'intelligence,bandeau-d-intelligence ,"Votre Intelligence est de 19 tant que vous portez ce bandeau. Le serre-tête n'a aucun effet sur vous si votre Intelligence est de 19 ou plus sans lui.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
68,Bateau pliable,bateau-pliable ,"Cet objet ressemble à une boîte en bois de 30 cm de long, 15 cm de large, et 15 cm de hauteur. Il pèse 2 kg et flotte. Il peut être ouvert pour y entreposer des objets à l'intérieur. Cet objet a également trois mots de commande, chacun nécessitant une action pour être prononcé.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
69,Bâton d'envoûtement,baton-d-envoutement ,"Tant que vous tenez ce bâton, vous pouvez utiliser une action pour dépenser l'une de ses 10 charges afin de lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=charme-personne"">charme-personne</a>, <a href=""https://www.aidedd.org/dnd/sorts.php?vf=injonction"">injonction</a> ou <a href=""https://www.aidedd.org/dnd/sorts.php?vf=comprehension-des-langues"">compréhension des langues</a> en utilisant votre propre DD des sorts. Le bâton peut également être utilisé en tant qu'arme magique.

","Bâton, rare (nécessite un lien avec un barde, un clerc, un druide, un ensorceleur, un magicien ou un occultiste)",Dungeon Master´s Guide (SRD)
70,Bâton de feu,baton-de-feu ,"Vous obtenez la résistance aux dégâts de feu tant que vous tenez ce bâton.

","Bâton, très rare (nécessite un lien avec un druide, un ensorceleur, un magicien ou un occultiste)",Dungeon Master´s Guide (SRD)
71,Bâton de flétrissement,baton-de-fletrissement ,"Ce bâton possède 3 charges et récupère 1d3 charges dépensées chaque jour à l'aube.

","Bâton, rare (nécessite un lien par un clerc, un druide ou un occultiste)",Dungeon Master´s Guide (SRD)
