Id,Nom,Description
7,Attaques multiples, Le sphinx effectue deux attaques avec ses griffes.
7,Griffes," <em>Attaque au corps à corps avec une arme</em> : +12 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 17 (2d10 + 6) dégâts tranchants."
7,Rugissement (3/jour)," Le sphinx pousse un rugissement magique. Chaque fois qu'il rugit avant d'avoir terminé un repos long, le rugissement est de plus en plus fort et son effet différent, comme détaillé ci-dessous. Chaque créature se trouvant à 150 mètres du sphinx et étant capable de l'entendre doivent effectuer un jet de sauvegarde."
7,Premier rugissement," Toutes les créatures qui échouent à un jet de sauvegarde de Sagesse DD 18 sont effrayées pendant 1 minute. Une créature peut retenter le jet de sauvegarde à la fin de chacun de ses tours, mettant fin l'effet qu'elle subit."
7,Second rugissement," Toutes les créatures qui échouent à un jet de sauvegarde de Sagesse DD 18 sont assourdies et effrayées pendant 1 minute. Une créature effrayée est paralysée et peut retenter le jet de sauvegarde à la fin de chacun de ses tours, mettant fin l'effet qu'elle subit."
7,Troisième rugissement," Chaque créature effectue un jet de sauvegarde de Constitution DD 18. En cas d'échec, elle subit 44 (8d10) dégâts de tonnerre et est jetée à terre. En cas de réussite, elle subit la moitié des dégâts et n'est pas jetée à terre."
8,Morsure," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 10 (2d6 + 3) dégâts tranchants + 3 (1d6) dégâts d'acide. Si la cible est de taille G ou inférieure, elle est agrippée (évasion DD 13). Tant qu'elle est agrippée, l'ankheg ne peut mordre que cette créature et a un avantage aux jets d'attaque pour cela."
8,Vaporisation d'acide (Recharge 6)," L'ankheg crache de l'acide sur une ligne de 9 mètres de long et 1,50 mètre de large, à conditions qu'il n'agrippe aucune créature. Chaque créature présente sur cette ligne doit effectuer un jet de sauvegarde de Dextérité DD 13, subissant 10 (3d6) dégâts d'acide en cas d'échec, ou la moitié de ces dégâts en cas de réussite."
9,Queue," <em>Attaque au corps à corps avec une arme</em> : +7 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 18 (4d6 + 4) dégâts contondants. Si la cible est une créature, celle-ci doit réussir un jet de sauvegarde de Force DD 14 ou tomber à terre."
10,Morsure," <em>Attaque au corps à corps avec une arme</em> : +4 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 1 dégât perforant et la cible doit réussir un jet de sauvegarde de Constitution DD 9 ou subir 2 (1d4) dégâts de poison."
11,Morsure," <em>Attaque au corps à corps avec une arme</em> : +4 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 7 (1d10 + 2) dégâts perforants, et la cible doit effectuer un jet de sauvegarde de Constitution DD 11, subissant 18 (4d8) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite. Si les dégâts de poison font tomber la cible à 0 point de vie, celle-ci est stable mais empoisonnée durant 1 heure, même après avoir regagné des points de vie, et est paralysée tant qu'elle est empoisonnée de la sorte."
12,Morsure," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 7 (1d8 + 3) dégâts perforants, et la cible doit réaliser un jet de sauvegarde de Constitution DD 11, subissant 9 (2d8) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite. Si le poison réduit les points de vie de la cible à 0, celle-ci est stable mais empoisonnée durant 1 heure, même si elle récupère des points de vie par la suite, et paralysée tant qu'elle est empoisonnée de cette manière."
12,Toile d'araignée (Recharge 5-6)," <em>Attaque à distance avec une arme</em> : +5 au toucher, portée 9/18 m, une créature. <em>Touché</em>&nbsp;: la cible est entravée par la toile. Par une action, la cible entravée peut effectuer un jet de Force DD 12, déchirant la toile en cas de réussite. La toile peut aussi être attaquée et détruite (CA 10 ; pv 5 ; vulnérabilité aux dégâts de feu ; immunités aux dégâts contondants, de poison et psychiques)."
13,Morsure," <em>Attaque au corps à corps avec une arme</em> : +3 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 4 (1d6 + 1) dégâts perforants, et la cible doit réaliser un jet de sauvegarde de Constitution DD 11, subissant 7 (2d6) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite. Si le poison réduit les points de vie de la cible à 0, celle-ci est stable mais empoisonnée durant 1 heure, même si elle récupère des points de vie par la suite, et paralysée tant qu'elle est empoisonnée de cette manière."
14,Coup," Attaque au corps à corps avec une arme : +6 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 14 (3d6 + 4) dégâts contondants."
15,Écorchure," Attaque au corps à corps avec une arme : +1 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 1 (1d4 - 1) dégâts tranchants."
16,Griffes," <em>Attaque au corps à corps avec une arme</em> : +7 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 8 (2d4 + 3) dégâts tranchants. La cible doit effectuer un jet de sauvegarde de Constitution DD 14, subissant 10 (3d6) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite."
16,Téléportation," L'arcanaloth se téléporte magiquement, avec tout l'équipement qu'il porte ou transporte, vers un espace inoccupé qu'il peut voir et situé dans un rayon de 18 mètres autour de lui."
17,Dague," <em>Attaque au corps à corps ou à distance avec une arme</em> : +6 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. <em>Touché</em>&nbsp;: 4 (1d4 + 2) dégâts perforants."
18,Attaques multiples, L'armure effectue deux attaques au corps à corps.
18,Coup," Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 5 (1d6 + 2) dégâts contondants."
19,Attaques multiples, L'assassin effectue deux attaques avec l'épée courte.
19,Épée courte," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 6 (1d6 + 3) dégâts perforants, et la cible doit effectuer un jet de sauvegarde de Constitution DD 15, subissant 24 (7d6) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite."
19,Arbalète légère," <em>Attaque à distance avec une arme</em> : +6 au toucher, portée 24/96 m, une cible. <em>Touché</em>&nbsp;: 7 (1d8 + 3) dégâts perforants, et la cible doit effectuer un jet de sauvegarde de Constitution DD 15, subissant 24 (7d6) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite."
20,Marteau de guerre," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 7 (1d8 + 3) dégâts contondants, ou 8 (1d10 + 3) dégâts contondants si utilisé à deux mains pour faire une attaque au corps à corps, plus 3 (1d6) dégâts de feu."
21,Attaques multiples," Le babélien effectue une attaque de morsure et, s'il le peut, utilise sa Salive aveuglante."
21,Morsure," <em>Attaque au corps à corps avec une arme</em> : +2 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 17 (5d6) dégâts perforants. Si la cible est de taille M ou inférieure, elle doit réussir un jet de sauvegarde de Force DD 10 ou tomber à terre. Si la cible est tuée par les dégâts de cette attaque, elle est absorbée par le babélien."
21,Salive aveuglante (Recharge 5-6)," Le babélien crache un projectile chimique sur un point qu'il peut voir dans un rayon de 4,50 mètres autour de lui. Le projectile explose dans un éclat de lumière aveuglant au moment de l'impact. Chaque créature se trouvant à 1,50 mètre du flash de lumière doit réussir un jet de sauvegarde de Dextérité DD 13 ou être aveuglée jusqu'à la fin du prochain tour du babélien."
22,Morsure," <em>Attaque au corps à corps avec une arme</em> : +1 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 1 (1d4 – 1) dégâts perforants."
23,Attaques multiples, Le balor effectue deux attaques : une avec son épée longue et une avec son fouet.
23,Épée longue," <em>Attaque au corps à corps avec une arme</em> : +14 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 21 (3d8 + 8) dégâts tranchants + 13 (3d8) dégâts de foudre. Si le balor réalise un coup critique, il lance trois fois les dés de dégâts au lieu de deux fois."
23,Fouet," <em>Attaque au corps à corps avec une arme</em> : +14 au toucher, allonge 9 m, une cible. <em>Touché</em>&nbsp;: 15 (2d6 + 8) dégâts tranchants + 10 (3d6) dégâts de feu, et la cible doit réussir un jet de sauvegarde de Force DD 20 ou être tirée de 7,50 mètres vers le balor."
23,Téléportation," Le balor se téléporte magiquement, avec tout équipement qu'il porte ou transporte, vers un espace inoccupé qu'il peut voir et situé dans un rayon de 36 mètres autour de lui."
24,Cimeterre," <em>Attaque au corps à corps avec une arme</em> : +3 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 4 (1d6 + 1) dégâts tranchants."
24,Arbalète légère," <em>Attaque à distance avec une arme</em> : +3 au toucher, portée 24/96 m, une cible. <em>Touché</em>&nbsp;: 5 (1d8 + 1) dégâts perforants."
25,Attaques multiples, Le capitaine effectue trois attaques : deux avec son cimeterre et une avec sa dague. Ou bien il effectue deux attaques à distance avec ses dagues.
25,Cimeterre," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 6 (1d6 + 3) dégâts tranchants."
25,Dague," <em>Attaque au corps à corps ou à distance avec une arme</em> : +5 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. <em>Touché</em>&nbsp;: 5 (1d4 + 3) dégâts perforants."
25,Parade," Le capitaine ajoute 2 à sa CA contre une attaque au corps à corps qui le toucherait. Pour ce faire, il doit voir l'attaquant et avoir en main une arme de corps à corps."
26,Contact corrupteur," <em>Attaque au corps à corps avec un sort</em> : +4 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 12 (3d6 + 2) dégâts nécrotiques."
26,Visage Effroyable," Chaque créature non morte-vivante se trouvant à 18 mètres de la banshie et pouvant la voir doit réussir un jet de sauvegarde de Sagesse DD 13 ou être effrayée pendant 1 minute. Une créature effrayée peut retenter le jet de sauvegarde à la fin de chacun de ses tours, avec un désavantage si la banshie est toujours visible, mettant fin à l'effet en cas de réussite. Si le jet de sauvegarde de la cible est réussi ou que l'effet qu'elle subit se termine, celle-ci devient immunisée au Visage Effroyable de la banshie pendant les prochaines 24 heures."
26,Hurlement (1/jour)," La banshie pousse un hurlement plaintif, à condition de ne pas être exposée à la lumière du soleil. Les morts-vivants et les artificiels sont immunisés à cet effet. Toutes les autres créatures se situant à 9 mètres d'elle et pouvant l'entendre doivent effectuer un jet de sauvegarde de Constitution DD 13. En cas d'échec, la créature tombe à 0 point de vie. En cas de réussite, elle subit 10 (3d6) dégâts psychiques."
27,Attaques multiples, Le barlgura effectue trois attaques : une de morsure et deux avec ses poings.
27,Morsure," <em>Attaque au corps à corps avec une arme</em> : +7 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 11 (2d6 + 4) dégâts perforants."
27,Poing," <em>Attaque au corps à corps avec une arme</em> : +7 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 9 (1d10 + 4) dégâts contondants."
28,Morsure," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 10 (2d6 + 3) dégâts perforants + 7 (2d6) dégâts de poison."
29,Bec," Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 6 (1d8 + 2) dégâts tranchants."
30,Attaques multiples, Le béhir effectue deux attaques : une de morsure et une de constriction.
30,Morsure," <em>Attaque au corps à corps avec une arme</em> : +10 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 22 (3d10 + 6) dégâts perforants."
30,Constriction," <em>Attaque au corps à corps avec une arme</em> : +10 au toucher, allonge 1,50 m, une créature de taille G ou inférieure. <em>Touché</em>&nbsp;: 17 (2d10 + 6) dégâts contondants + 17 (2d10 + 6) dégâts tranchants. La cible est agrippée (DD 16 pour s'échapper) si le béhir n'est pas déjà en train d'étreindre une créature, et la cible est entravée tant qu'elle est agrippée."
30,Souffle de foudre (Recharge 5-6)," Le béhir crache un jet de foudre sur une ligne de 6 mètres de long et de 1,50 mètre de large. Chaque créature sur cette ligne doit effectuer un jet de sauvegarde de Dextérité DD 16, subissant 66 (12d10) dégâts de foudre en cas d'échec, ou la moitié de ces dégâts en cas de réussite."
30,Engloutissement," Le béhir effectue une attaque de morsure contre une créature de taille M ou inférieure qu'il agrippe. Si l'attaque réussit, la créature est avalée, et elle n'est plus agrippée. Une fois avalée, la créature est aveuglée et entravée, bénéficie d'un abri total contre les attaques et effets provenant de l'extérieur du béhir, et subit 21 (6d6) dégâts d'acide au début de chaque tour du béhir. Un béhir ne peut avoir en lui qu'une seule créature engloutie à la fois. Si le béhir subit 30 points de dégâts ou plus en un seul tour de la part de la créature avalée, il doit réussir un jet de sauvegarde de Constitution DD 14 à la fin du tour ou régurgiter la créature qu'il a avalée, qui se retrouve alors à terre, à 3 mètres ou moins du béhir. Si le béhir meurt, une créature avalée n'est plus entravée et peut s'échapper du cadavre en utilisant 4,50 mètres de mouvement pour se retrouver à l'extérieur et à terre."
31,Morsure," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 1 dégât perforant."
32,Morsure," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 5 (1d4 + 3) dégâts perforants."
33,Hache à deux mains," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 9 (1d12 + 3) dégâts tranchants."
34,Attaques multiples, La bête éclipsante effectue deux attaques avec ses tentacules.
34,Tentacule," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 7 (1d6 + 4) dégâts contondants + 3 (1d6) dégâts perforants."
35,Morsure," <em>Attaque au corps à corps avec une arme</em> : +2 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 1 dégât perforant."
36,Attaques multiples, Le blaireau réalise deux attaques : une avec ses griffes et une de morsure.
36,Griffes," <em>Attaque au corps à corps avec une arme</em> : +3 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 6 (2d4 + 1) dégâts tranchants."
36,Morsure," <em>Attaque au corps à corps avec une arme</em> : +3 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 4 (1d6 + 1) dégâts perforants."
37,Griffes," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 10 (2d6 + 3) dégâts tranchants. Si la cible est une créature autre qu'un mort-vivant, elle doit réussir un jet de sauvegarde de Constitution DD 10 ou être paralysée pendant 1 minute. La cible peut retenter son jet de sauvegarde à la fin de chacun de ses tours, mettant fin à l'effet qui l'affecte en cas de réussite."
37,Morsure," <em>Attaque au corps à corps avec une arme</em> : +3 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 12 (2d8 + 3) dégâts perforants."
38,Attaques multiples, Le brutacien effectue deux attaques au corps à corps : une de morsure et une avec la lance.
38,Morsure," <em>Attaque au corps à corps avec une arme</em> : +3 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 3 (1d4 + 1) dégâts contondants."
38,Lance," <em>Attaque au corps à corps ou à distance avec une arme</em> : +3 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. <em>Touché</em>&nbsp;: 4 (1d6 + 1) dégâts perforants, ou 5 (1d8 + 1) dégâts perforants si utilisée à deux mains pour faire une attaque au corps à corps."
39,Morsure," <em>Attaque au corps à corps avec une arme</em> : +7 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 30 (4d12 + 4) dégâts perforants."
39,Saut implacable," Si la bulette parcourt au moins 4,50 mètres en sautant lors de son mouvement, elle peut utiliser son action pour atterrir sur un espace où se trouvent une ou plusieurs créatures. Chaque créature doit alors réussir un jet de sauvegarde de Force ou de Dextérité DD 16 (au choix de la cible) ou tomber à terre et subir 14 (3d6 + 4) dégâts contondants + 14 (3d6 + 4) dégâts tranchants. Si le jet de sauvegarde est réussi, la créature subit la moitié des dégâts, n'est pas projetée au sol, et est poussée de 1,50 mètre hors de l'espace de la bulette (vers un espace inoccupé choisi par la créature). S'il n'y a pas d'espace libre à portée, la créature se retrouve à terre dans l'espace de la bulette."
40,Attaques multiples," Le cambion effectue deux attaques au corps à corps, ou utilise deux fois son Rayon de feu."
40,Lance," <em>Attaque au corps à corps ou à distance avec une arme</em> : +7 au toucher, allonge 1,50 m ou portée 6/12 m, une cible. <em>Touché</em>&nbsp;: 7 (1d6 + 4) dégâts perforants, ou 8 (1d8 + 4) dégâts perforants si utilisée à deux mains pour faire une attaque au corps à corps, plus 3 (1d6) dégâts de feu."
40,Rayon de feu," <em>Attaque à distance avec un sort</em> : +7 au toucher, portée 36 m, une cible. <em>Touché</em>&nbsp;: 10 (3d6) dégâts de feu."
40,Charme satanique," Un humanoïde situé à 9 mètres ou moins du cambion et qu'il peut voir doit réussir un jet de sauvegarde de Sagesse DD 14 ou être charmé par magie pendant 1 journée. La cible charmée obéit aux paroles du cambion. Si la cible subit des dégâts de la part du cambion ou d'une autre créature, ou reçoit un ordre suicidaire de la part du cambion, elle peut retenter le jet de sauvegarde, mettant fin à l'effet en cas de réussite. Si le jet de sauvegarde d'une créature est réussi ou que l'effet qu'elle subit se termine, celle-ci devient immunisée au Charme satanique du cambion pendant les prochaines 24 heures."
41,Attaques multiples," Le centaure effectue deux attaques : une avec la pique et une avec ses sabots, ou deux avec l'arc long."
41,Pique," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 9 (1d10 + 4) dégâts perforants."
41,Sabots," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 11 (2d6 + 4) dégâts contondants."
41,Arc long," <em>Attaque à distance avec une arme</em> : +4 au toucher, portée 45/180 m, une cible. <em>Touché</em>&nbsp;: 6 (1d8 + 2) dégâts perforants."
42,Morsure," <em>Attaque au corps à corps avec une arme</em> : +2 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 2 (1d4) dégâts perforants."
43,Morsure," <em>Attaque au corps à corps avec une arme</em> : +1 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 1 (1d4 - 1) dégâts perforants."
44,Morsure," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 2 (1d4) dégâts contondants."
45,Attaques multiples, Le charognard rampant effectue deux attaques : une avec ses tentacules et une de morsure.
45,Tentacules," <em>Attaque au corps à corps avec une arme</em> : +8 au toucher, allonge 3 m, une créature. <em>Touché</em>&nbsp;: 4 (1d4 + 2) dégâts de poison, et la cible doit réussir un jet de sauvegarde de Constitution DD 13 ou être empoisonné pendant 1 minute. Jusqu'à ce que ce poison prenne fin, la cible est paralysée. La cible peut retenter ce jet de sauvegarde à la fin de chacun de ses tours, mettant fin au poison qui l'affecte."
45,Morsure," <em>Attaque au corps à corps avec une arme</em> : +4 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 7 (2d4 + 2) dégâts perforants."
46,Rostre," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 16 (4d6 + 2) dégâts perforants + 24 (7d6) dégâts nécrotiques, et le maximum de points de vie de la cible est réduit d'un montant égal aux dégâts nécrotiques subis. Si cet effet fait tomber le maximum de points de vie de la créature à 0, la créature meurt. Cette réduction du maximum de points de vie de la créature est effective jusqu'à ce que la créature finisse un repos long ou soit ciblée par un sort de <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=restauration-superieure"">restauration supérieure</a></em> ou tout autre effet similaire."
47,Griffes," <em>Attaque au corps à corps avec une arme</em> : +0 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 1 dégât tranchant."
48,Morsure," <em>Attaque au corps à corps avec une arme</em> : +0 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 1 dégât perforant."
49,Morsure," <em>Attaque au corps à corps avec une arme</em> : +4 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 5 (1d6 + 2) dégâts perforants."
50,Sabots," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 11 (2d6 + 4) dégâts contondants."
51,Sabots," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 8 (2d4 + 3) dégâts contondants."
52,Sabots," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 9 (2d4 + 4) dégâts contondants."
53,Attaques multiples, Le chevalier effectue deux attaques au corps à corps.
53,Épée à deux mains," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 10 (2d6 + 3) dégâts tranchants."
53,Arbalète lourde," <em>Attaque à distance avec une arme</em> : +2 au toucher, portée 30/120 m, une cible. <em>Touché</em>&nbsp;: 5 (1d10) dégâts perforants."
53,Commandement (Recharge après un repos court ou long)," Pendant 1 minute, le chevalier peut lancer un avertissement ou un ordre spécial chaque fois qu'une créature non-hostile qu'il peut voir dans un rayon de 9 mètres autour de lui effectue un jet d'attaque ou de sauvegarde. La créature peut ajouter un d4 à son jet à condition qu'elle puisse entendre et comprendre le chevalier. Une créature ne peut bénéficier que d'un seul dé de Commandement à la fois. Cet effet se termine si le chevalier est incapable d'agir."
53,Parade," Le chevalier ajoute 2 à sa CA contre une attaque au corps à corps qui le toucherait. Pour ce faire, il doit voir l'attaquant et avoir en main une arme de corps à corps."
54,Attaques multiples, Le chevalier de la mort effectue trois attaques avec son épée longue.
54,Épée longue," <em>Attaque au corps à corps avec une arme</em> : +11 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 9 (1d8 + 5) dégâts tranchants, ou 10 (1d10 + 5) dégâts tranchants si utilisée à deux mains, plus 18 (4d8) dégâts nécrotiques."
54,Orbe de feu infernal (1/jour)," Le chevalier de la mort projette une boule de feu magique qui explose en un point qu'il peut voir situé dans un rayon de 36 mètres autour de lui. Chaque créature dans un rayon de 6 mètres autour du point d'impact doit lancer un jet de sauvegarde de Dextérité DD 18. La sphère se propage au-delà des coins. Une créature subit 35 (10d6) dégâts de feu et 35 (10d6) dégâts nécrotiques si le jet de sauvegarde est raté, ou la moitié en cas de réussite."
54,Parade," Le chevalier de la mort ajoute 6 à sa CA contre une attaque au corps à corps qui le toucherait. Pour ce faire, il doit voir l'attaquant et avoir en main une arme de corps à corps."
55,Coup de tête," <em>Attaque au corps à corps avec une arme</em> : +3 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 3 (1d4 + 1) dégâts contondants."
56,Coup de tête," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 8 (2d4 + 3) dégâts contondants."
57,Morsure," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 7 (1d8 + 3) dégâts perforants + 7 (2d6) de feu."
57,Souffle de feu (Recharge 5-6)," Le chien de chasse exhale des flammes dans un cône de 4,50 mètres. Toutes les créatures dans la zone doivent effectuer un jet de sauvegarde de Dextérité DD 12, subissant 21 (6d6) dégâts de feu en cas d'échec, ou la moitié de ces dégâts en cas de réussite."
