Id,Nom,Description
13,Déplacement sur la toile, L'araignée ignore les restrictions de mouvement causées par une toile d'araignée.
13,Pattes d'araignée, L'araignée peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
13,Sens de la toile," Lorsqu'elle est en contact avec une toile, l'araignée connait l'emplacement exact de toutes les créatures qui sont en contact avec cette toile."
14,Apparence trompeuse," Tant que l'arbre reste immobile, il ne peut être distingué d'un arbre ordinaire."
15,Apparence trompeuse," Tant que l'arbuste reste immobile, il ne peut être distingué d'un arbuste ordinaire."
16,Incantation innée," La caractéristique d'incantation innée de l'arcanaloth est le Charisme (jet de sauvegarde contre ses sorts DD 15). L'arcanaloth peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :"
16,Résistance à la magie, L'arcanaloth a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
16,Armes magiques, Les attaques avec une arme de l'arcanaloth sont magiques.
16,Incantation," L'arcanaloth est un lanceur de sorts de niveau 16. Sa caractéristique d'incantation est l'Intelligence (jet de sauvegarde contre ses sorts DD 17, +9 au toucher pour les attaques avec un sort). L'arcanaloth a préparé les sorts de magicien suivants&nbsp;:"
17,Incantation," L'archimage est un lanceur de sorts de niveau 18. Sa caractéristique d'incantation est l'Intelligence (jet de sauvegarde contre ses sorts 17, +9 au toucher pour les attaques avec un sort). Il peut lancer à volonté les sorts <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=deguisement"">déguisement</a></em> et <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=invisibilite"">invisibilité</a></em>. L'archimage a préparé les sorts de magicien suivants&nbsp;:"
17,Résistance à la magie, L'archimage a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
18,Apparence trompeuse," Lorsque l'armure reste immobile, elle ne peut être distinguée d'une armure normale."
18,Sensibilité à l'antimagie," L'armure se retrouve incapable d'agir lorsqu'elle se situe dans un <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=champ-antimagie"">champ antimagie</a></em>. Si elle est ciblée par une <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=dissipation-de-la-magie"">dissipation de la magie</a></em>, l'armure doit réussir un jet de sauvegarde de Constitution contre le DD de sort du lanceur ou tomber inconsciente pendant 1 minute."
19,Assassinat," Au cours de son premier tour, l'assassin a un avantage aux jets d'attaque contre toute créature qui n'a pas encore pris un tour. Tout coup de l'assassin qui touche contre une créature surprise est un coup critique."
19,Attaque sournoise," Une fois par tour, l'assassin inflige 14 (4d6) dégâts supplémentaires quand il touche une cible lors d'une attaque avec une arme et qu'il a un avantage au jet d'attaque, ou lorsque la cible est 1,50 mètre ou moins d'un allié de l'assassin qui n'est pas incapable d'agir et si l'assassin n'a pas un désavantage à son jet d'attaque."
19,Esquive totale," Si l'assassin est soumis à un effet qui lui permet d'effectuer un jet de sauvegarde de Dextérité pour ne subir que la moitié des dégâts, il ne subit aucun dégât s'il réussit son jet de sauvegarde, et seulement la moitié des dégâts s'il échoue."
20,Corps brûlant," Une créature qui touche l'azer ou le frappe avec une attaque au corps à corps, en se trouvant à 1,50 mètre ou moins de lui, subit 5 (1d10) dégâts de feu."
20,Armes brûlantes," Lorsque l'azer touche avec une arme de corps à corps en métal, il inflige 3 (1d6) dégâts de feu supplémentaires (inclus dans l'attaque ci-dessous)."
20,Illumination, L'azer émet une lumière vive dans un rayon de 3 mètres et une lumière faible sur 3 mètres supplémentaires.
21,Sol aberrant," Le sol, dans un rayon de 3 mètres autour du babélien, a un aspect pâteux et est considéré comme un terrain difficile. Chaque créature qui débute son tour dans cette zone doit réussir un jet de sauvegarde de Force DD 10 ou voir sa vitesse de déplacement réduite à 0 jusqu'au début de son prochain tour."
21,Charabia," Le babélien babille des choses incompréhensibles tant qu'il peut voir une créature et qu'il n'est pas incapable d'agir. Chaque créature qui débute son tour dans un rayon de 6 mètres du babélien et qui peut entendre son charabia doit effectuer un jet de sauvegarde de Sagesse DD 10. En cas d'échec, la créature ne peut pas utiliser de réaction jusqu'au début de son prochain tour et lance un d8 pour déterminer ce qu'elle fait pendant son tour. Sur un 1 à 4, la créature ne fait rien. Sur un 5 ou 6, la créature n'utilise aucune action ni action bonus et utilise l'intégralité de son mouvement pour se déplacer dans une direction aléatoire. Sur un 7 ou 8, la créature effectue une attaque au corps à corps contre une créature aléatoire à portée ou ne fait rien si elle ne peut pas effectuer une telle attaque."
22,Tactique de groupe," Le babouin a un avantage aux jets d'attaque contre une créature si au moins l'un de ses alliés est à 1,50 mètre ou moins de la créature et n'est pas incapable d'agir."
23,Spasmes d'agonie," Le balor explose lorsqu'il meurt, et toutes les créatures situées à 9 mètres ou moins de lui doivent effectuer un jet de sauvegarde de Dextérité DD 20, subissant 70 (20d6) dégâts de feu en cas d'échec, ou la moitié de ces dégâts en cas de réussite. L'explosion embrase les objets inflammables qui ne sont pas tenus ou portés se trouvant dans la zone, et détruit les armes du balor."
23,Aura de feu," Au début de chaque tour du balor, toute créature située à 1,50 mètre ou moins de lui subit 10 (3d6) dégâts de feu, et les objets inflammables situés dans l'aura, qui ne sont pas tenus ou portés, s'embrasent. Une créature qui touche le balor ou le frappe avec une attaque au corps à corps tout en se trouvant à 1,50 mètre ou moins de lui subit 10 (3d6) dégâts de feu."
23,Résistance à la magie, Le balor a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
23,Armes magiques, Les attaques avec une arme du balor sont magiques.
26,Détection de la vie," Grâce à la magie, la banshie peut sentir la présence de créatures qui ne sont ni des morts-vivants ni des créatures artificielles jusqu'à 7,5 kilomètres de distance. Elle connait dans quelle direction elles se trouvent, mais pas leur localisation exacte."
26,Déplacement intangible, La banshie peut se déplacer à travers d'autres créatures ou des objets comme si elle traversait un terrain difficile. Elle subit 5 (1d10) dégâts de force si elle termine son tour à l'intérieur d'un objet.
27,Incantation innée," La caractéristique d'incantation innée du barlgura est la Sagesse (jet de sauvegarde contre ses sorts DD 13). Le barlgura peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :"
27,Téméraire," Au début de son tour, le barlgura peut obtenir un avantage à tous les jets d'attaque au corps à corps avec une arme pendant ce tour, mais les attaques contre lui ont un avantage jusqu'au début de son prochain tour."
27,Saut avec élan, Le saut en longueur du barlgura va jusqu'à 12 mètres et son saut en hauteur jusqu'à 6 mètres quand il peut prendre son élan.
28,Regard pétrifiant," Si une créature débute son tour à 9 mètres du basilic et que chacun peut voir l'autre, le basilic peut forcer la créature à effectuer un jet de sauvegarde de Constitution DD 12, s'il n'est pas incapable d'agir. En cas d'échec, la magie commence à transformer la créature en pierre, et celle-ci est entravée. Elle doit retenter le jet de sauvegarde à la fin de son prochain tour. En cas de réussite, l'effet se termine. En cas d'échec, la créature est pétrifiée, jusqu'à ce qu'elle soit délivrée par un sort de <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=restauration-superieure"">restauration supérieure</a></em> ou par une magie similaire. Une créature qui n'est pas surprise peut éviter le regard du basilic pour ne pas tenter de jet de sauvegarde au début de son tour. Dans ce cas, elle ne pourra pas voir le basilic jusqu'au début de son prochain tour, elle pourra encore choisir à ce moment d'éviter son regard. Si elle regarde le basilic entretemps, elle devra tenter immédiatement le jet de sauvegarde. Si le basilic voit son propre reflet à 9 mètres ou moins dans des conditions de lumière vive, il se méprendra et se ciblera avec son regard, croyant être face à un rival."
31,Odorat et ouïe aiguisés, La belette a un avantage aux jets de Sagesse (Perception) basés sur l'odorat ou l'ouïe.
32,Odorat et ouïe aiguisés, La belette a un avantage aux jets de Sagesse (Perception) basés sur l'odorat ou l'ouïe.
33,Téméraire," Au début de son tour, un berserker peut obtenir un avantage à tous les jets d'attaque au corps à corps avec une arme pendant ce tour, mais les attaques contre lui ont un avantage jusqu'au début de son prochain tour."
34,Esquive totale," Si la bête éclipsante est soumise à un effet qui lui permet d'effectuer un jet de sauvegarde pour ne subir que la moitié des dégâts, elle ne subit aucun dégât si elle réussit son jet de sauvegarde, et seulement la moitié des dégâts si elle échoue."
34,Déplacement," La bête éclipsante projette une illusion magique qui fait apparaître la bête éclipsante à quelques centimètres de sa véritable localisation ; de ce fait, les jets d'attaque qui ciblent la bête éclipsante ont un désavantage contre elle. Si elle est touchée par une attaque, ce trait est interrompu jusqu'à la fin de son prochain tour. Ce trait est également interrompu tant que la bête éclipsante est incapable d'agir ou que sa vitesse de déplacement est égale à 0 mètre."
35,Odorat aiguisé, Le blaireau a un avantage aux jets de Sagesse (Perception) basés sur l'odorat.
36,Odorat aiguisé, Le blaireau a un avantage aux jets de Sagesse (Perception) basés sur l'odorat.
37,Puanteur," Toute créature qui débute son tour à 1,50 mètre ou moins de la blême doit réussir un jet de sauvegarde de Constitution DD 10 ou être empoisonnée jusqu'au début de son prochain tour. Si elle réussit son jet de sauvegarde, la créature est immunisée contre la puanteur des blêmes pour les prochaines 24 heures."
37,Mépris du renvoi, La blême et toutes les goules situées dans un rayon de 9 mètres autour d'elle ont un avantage aux jets de sauvegarde pour résister aux effets de renvoi des morts-vivants.
38,Amphibien, Le brutacien peut respirer aussi bien dans l'air que sous l'eau.
38,Communication avec les grenouilles et les crapauds, Le brutacien peut communiquer des concepts simples aux crapauds et aux grenouilles lorsqu'il parle le brutacien.
38,Camouflage dans la vase, Le brutacien a un avantage aux jets de Dextérité (Discrétion) effectués pour se cacher sur un terrain marécageux.
38,Saut sans élan," Le brutacien peut sauter en longueur jusqu'à 6 mètres ou en hauteur jusqu'à 3 mètres, avec ou sans élan."
39,Saut sans élan," La bulette peut sauter en longueur jusqu'à 9 mètres ou en hauteur jusqu'à 4,50 mètres, avec ou sans élan."
40,Faveur impie, La CA du cambion prend en compte son bonus de Charisme.
40,Incantation innée," La caractéristique d'incantation innée du cambion est le Charisme (jet de sauvegarde contre ses sorts DD 14). Le cambion peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :"
41,Charge," Si le centaure se déplace d'au moins 9 mètres en ligne droite vers une cible, puis la touche lors d'une attaque avec la pique dans le même tour, la cible subit 10 (3d6) dégâts perforants supplémentaires."
43,Odorat et ouïe aiguisés, Le chacal a un avantage aux jets de Sagesse (Perception) basés sur l'odorat ou l'ouïe.
43,Tactique de groupe," Le chacal a un avantage aux jets d'attaque contre une créature si au moins l'un de ses alliés est à 1,50 mètre ou moins de la créature et n'est pas incapable d'agir."
45,Odorat aiguisé, Le charognard rampant a un avantage aux jets de Sagesse (Perception) basés sur l'odorat.
45,Pattes d'araignée, Le charognard rampant peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
46,Bourdonnement," Le chasme produit un horrible son bourdonnant auquel sont immunisés les démons. Toute autre créature qui débute son tour dans un rayon de 9 mètres autour du chasme doit réussir un jet de sauvegarde de Constitution DD 12 ou tomber inconsciente pendant 10 minutes. Une créature qui ne peut pas entendre le bourdonnement réussit automatiquement son jet de sauvegarde. L'effet sur une créature rendue inconsciente prend fin dès qu'elle subit des dégâts ou si une autre créature utilise son action pour l'asperger avec de l'eau bénite. Si une créature réussit son jet de sauvegarde contre cet effet ou si cet effet prend fin pour elle, elle est immunisée au bourdonnement pour les prochaines 24 heures."
46,Résistance à la magie, Le chasme a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
46,Pattes d'araignée, La chasme peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
47,Odorat aiguisé, Le chat a un avantage aux jets de Sagesse (Perception) basés sur l'odorat.
48,Écholocalisation, La chauve-souris ne peut utiliser sa vision aveugle quand elle est assourdie.
48,Ouïe aiguisée, La chauve-souris a un avantage aux jets de Sagesse (Perception) faisant appel à l'ouïe.
49,Écholocalisation, La chauve-souris ne peut utiliser sa vision aveugle quand elle est assourdie.
49,Ouïe aiguisée, La chauve-souris a un avantage aux jets de Sagesse (Perception) faisant appel à l'ouïe.
50,Charge écrasante," Si un cheval se déplace d'au moins 6 mètres en ligne droite vers une créature, puis la touche lors d'une attaque avec ses sabots dans le même tour, la cible doit réussir un jet de sauvegarde de Force DD 14 pour ne pas être jetée à terre. Si la cible est à terre, le cheval peut réaliser une autre attaque contre elle avec ses sabots en tant qu'action bonus."
53,Brave, Le chevalier a un avantage aux jets de sauvegarde pour ne pas être effrayé.
54,Résistance à la magie, Le chevalier de la mort a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
54,Général des Morts," À moins que le chevalier de la mort soit incapable d'agir, les morts-vivants de son choix à 18 mètres ou moins de lui (lui y comprit) bénéficient d'un avantage à leurs jets de sauvegarde contre les capacités qui repoussent les morts-vivants."
54,Incantation," Le chevalier de la mort est un lanceur de sorts de niveau 19. Sa caractéristique d'incantation est le Charisme (jet de sauvegarde contre ses sorts DD 18, +10 au toucher pour les attaques avec un sort). Il a préparé les sorts de paladin suivants&nbsp;:"
55,Charge," Si la chèvre se déplace d'au moins 6 mètres en ligne droite vers une cible, puis la touche lors d'une attaque avec un coup de tête dans le même tour, la cible subit 2 (1d4) dégâts contondants supplémentaires. Si la cible est une créature, elle doit réussir un jet de sauvegarde de Force DD 10 ou tomber à terre."
55,Stable, La chèvre a un avantage aux jets de sauvegarde de Force et de Dextérité contre les effets susceptibles de la faire tomber à terre.
56,Charge," Si la chèvre se déplace d'au moins 6 mètres en ligne droite vers une cible, puis la touche lors d'une attaque avec un coup de tête dans le même tour, la cible subit 5 (2d4) dégâts contondants supplémentaires. Si la cible est une créature, elle doit réussir un jet de sauvegarde de Force DD 13 ou tomber à terre."
56,Stable, La chèvre a un avantage aux jets de sauvegarde de Force et de Dextérité contre les effets susceptibles de la faire tomber à terre.
57,Odorat et ouïe aiguisés, Le chien de chasse a un avantage aux jets de Sagesse (Perception) basés sur l'odorat ou l'ouïe.
57,Tactique de groupe," Le chien de chasse a un avantage aux jets d'attaque contre une créature si au moins l'un de ses alliés est à 1,50 mètre ou moins de la créature et n'est pas incapable d'agir."
58,Bicéphale," Le chien a un avantage aux jets de Sagesse (Perception), ainsi qu'aux jets de sauvegarde pour ne pas être assourdi, aveuglé, charmé, étourdi, inconscient ou effrayé."
59,Odorat et ouïe aiguisés, Le chien a un avantage aux jets de Sagesse (Perception) basés sur l'odorat ou l'ouïe.
61,Repli aérien, La chouette ne provoque pas d'attaques d'opportunité lorsqu'elle quitte l'allonge d'un ennemi en volant.
61,Ouïe et vue aiguisées, La chouette a un avantage aux jets de Sagesse (Perception) faisant appel à l'ouïe ou à la vue.
62,Repli aérien, La chouette ne provoque pas d'attaques d'opportunité lorsqu'elle quitte l'allonge d'un ennemi en volant.
62,Ouïe et vue aiguisées, La chouette a un avantage aux jets de Sagesse (Perception) faisant appel à l'ouïe ou à la vue.
63,Amphibien, Le chuul peut respirer aussi bien dans l'air que sous l'eau.
63,Détection de la magie," Le chuul détecte la magie dans un rayon de 36 mètres à volonté. Mis à part cela, ce trait fonctionne comme le sort <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=detection-de-la-magie"">détection de la magie</a></em>, mais il n'est pas lui-même magique."
65,Imitation," Le corbeau peut imiter des sons simples qu'il a entendus, comme le chuchotement d'une personne, un bébé qui pleure ou un petit cri animal. Une créature qui entend les sons peut se rendre compte qu'il s'agit d'imitations si elle réussit un jet de Sagesse (Intuition) DD 10."
66,Incantation innée," La caractéristique d'incantation innée du couatl est le Charisme (jet de sauvegarde contre ses sorts DD 14). Le couatl peut lancer les sorts suivants de manière innée, qui nécessitent uniquement une composante verbale :"
66,Armes magiques, Les attaques avec une arme du couatl sont magiques.
66,Esprit fortifié," Le couatl est immunisé contre la scrutation et aux effets qui permettraient de ressentir ses émotions, lire ses pensées, ou détecter sa localisation."
67,Amphibien, Le crabe peut respirer aussi bien dans l'air que sous l'eau.
68,Amphibien, Le crabe peut respirer aussi bien dans l'air que sous l'eau.
69,Illumination," Le crânefeu émet une lumière faible dans un rayon de 4,50 mètres, ou une lumière vive dans un rayon de 4,50 mètres et une lumière faible sur 4,50 mètres supplémentaires. Il peut passer d'une option à l'autre en utilisant une action."
69,Résistance à la magie, Le crânefeu a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
69,Reconstitution," Si le crânefeu est détruit, il récupère tous ses points de vie en 1 heure, à moins que de l'eau bénite ne soit versée sur ses restes, ou qu'un sort de <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=dissipation-de-la-magie"">dissipation de la magie</a></em> ou de <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=delivrance-des-maledictions"">délivrance des malédictions</a></em> ne lui soit lancé."
69,Incantation," Le crânefeu est un lanceur de sorts de niveau 5. Sa caractéristique d'incantation est l'Intelligence (jet de sauvegarde contre ses sorts DD 13, +5 au toucher pour les attaques avec un sort). Le crâne n'a pas besoin des composantes somatiques et matérielles pour lancer ses sorts. Il a préparé les sorts de magicien suivants&nbsp;:"
70,Amphibien, Le crapaud peut respirer aussi bien dans l'air que sous l'eau.
70,Saut sans élan," Le crapaud peut sauter en longueur jusqu'à 6 mètres ou en hauteur jusqu'à 3 mètres, avec ou sans élan."
71,Apparence trompeuse," Tant que le criard reste immobile, il ne peut être distingué d'un champignon ordinaire."
71,Hurlement," Lorsqu'une lumière vive ou une créature se trouve à 9 mètres ou moins du criard, il émet un hurlement audible à 90 mètres à la ronde. Le criard pousse son crie jusqu'à ce que ce qui l'a dérangé sorte de sa portée de vision aveugle et pendant les 1d4 tours qui suivent."
72,Apnée, Le crocodile peut retenir son souffle durant 15 minutes.
73,Apnée, Le crocodile peut retenir son souffle durant 30 minutes.
74,Vase cubique," Le cube occupe intégralement son espace. Les autres créatures peuvent entrer dans cet espace, mais une créature le faisant est sujette à l'Engloutissement du cube et a un désavantage aux jets de sauvegarde. Les créatures à l'intérieur du cube sont visibles mais disposes d'un abri total. Une créature à 1,50 mètre du cube peut effectuer une action pour extraire une créature ou un objet du cube. Pour ce faire, elle doit réussir un jet de Force DD 12 et la créature accomplissant la tentative subit 10 (3d6) dégâts d'acide. Le cube ne peut contenir qu'une seule créature de taille G ou jusqu'à quatre créatures de taille M ou inférieur en même temps."
74,Transparent," Y compris lorsque le cube est visible, il est nécessaire de réussir un jet de Sagesse (Perception) DD 15 pour repérer le cube s'il n'a ni bougé ni attaqué. Une créature qui tente d'entrer dans l'espace du cube sans le savoir est surprise par le cube."
75,Sombre dévotion, Le cultiste a un avantage aux jets de sauvegarde pour ne pas être charmé ou effrayé.
76,Faible perception du relief, Le cyclope a un désavantage à tous les jets d'attaque contre une cible située à plus de 9 mètres de lui.
77,Disparition élémentaire," Si le dao meurt, son corps se désintègre en une poudre cristalline, ne laissant derrière lui que l'équipement qu'il portait ou transportait."
77,Incantation innée," La caractéristique d'incantation innée du dao est le Charisme (jet de sauvegarde contre ses sorts DD 14, +6 au toucher pour les attaques avec un sort). Il peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :"
77,Déplacement dans la terre," Le dao peut creuser à travers la terre et la pierre non magique et non travaillée. En faisant cela, il ne dérange pas les matériaux qu'il traverse."
77,Pieds sûrs, Le dao a un avantage aux jets de Force ou de Dextérité réalisés pour contrer des effets qui le jetteraient à terre.
79,Esquive totale," Si la demi-liche est soumise à un effet qui lui permet d'effectuer un jet de sauvegarde pour ne subir que la moitié des dégâts, elle ne subit aucun dégât si elle réussit son jet de sauvegarde, et seulement la moitié des dégâts si elle échoue."
79,Résistance légendaire (3/jour)," Si la demi-liche échoue à un jet de sauvegarde, elle peut décider de transformer cet échec en réussite."
79,Immunité au renvoi, La demi-liche est immunisée aux effets de renvoi des morts-vivants.
81,Déplacement intangible, Le démon peut se déplacer au travers d'autres créatures et objets comme s'ils étaient des terrains difficiles. Le démon subit 5 (1d10) dégâts de force s'il termine son tour à l'intérieur d'un objet.
81,Sensibilité à la lumière," S'il est exposé à une lumière vive, le démon a un désavantage aux jets d'attaque et aux jets de Sagesse (Perception) basés sur la vue."
81,Discrétion dans les ombres," S'il se trouve dans des ténèbres ou est exposé à une lumière faible, le démon peut effectuer l'action Se cacher en utilisant une action bonus."
82,Résistance au feu partagée, Le destrier noir peut accorder la résistance au feu à son cavalier.
82,Illumination, Le destrier noir émet une lumière vive dans un rayon de 3 mètres et une lumière faible sur 3 mètres supplémentaire.
83,Armes angéliques," Les attaques avec une arme du déva sont magiques. Lorsque le déva touche avec n'importe quelle arme, l'arme inflige 4d8 dégâts radiants supplémentaires (inclus dans l'attaque ci-dessous)."
83,Incantation innée," La caractéristique d'incantation innée du déva est le Charisme (jet de sauvegarde contre ses sorts DD 17). Le déva peut lancer les sorts suivants de manière innée, qui nécessitent uniquement une composante verbale :"
83,Résistance à la magie, Le déva a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
84,Détection de la sentience," Le dévoreur d'intellect peut sentir la présence et localiser chaque créature ayant une Intelligence de 3 ou plus dans un rayon de 90 mètres, quelles que soient les barrières qui les séparent, à moins que la créature soit protégée par un sort d'<em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=esprit-impenetrable"">esprit impénétrable</a></em>."
85,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diable.
85,Résistance à la magie, Le diable a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
86,Peau barbelée," Au début de chacun de ses tours, le diable barbelé inflige 5 (1d10) dégâts perforants à toute créature qu'il agrippe."
86,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diable.
86,Résistance à la magie, Le diable a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
87,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diable.
87,Résistance à la magie, Le diable a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
87,Inébranlable, Le diable ne peut pas être effrayé s'il peut voir une créature alliée dans un rayon de 9 mètres autour de lui.
88,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diable.
88,Résistance à la magie, Le diable a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
89,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diable.
89,Repli aérien, Le diable épineux ne provoque pas d'attaques d'opportunité lorsqu'il quitte l'allonge d'un ennemi en volant.
89,Épines limitées, Le diable possède douze épines caudales. Les épines utilisées repoussent après que le diable ait effectué un repos long.
89,Résistance à la magie, Le diable épineux a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
90,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diable.
90,Résistance à la magie, Le diable a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
91,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diable.
91,Résistance à la magie, Le diable a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
92,Métamorphe," Le diablotin peut utiliser son action pour se métamorphoser en une bête qui ressemble à un rat (vitesse 6 m), un corbeau (6 m, vol 18 m) ou une araignée (6 m, escalade 6 m), ou pour reprendre sa forme véritable. Mise à part sa vitesse (comme indiqué précédemment), ses statistiques sont les mêmes quelle que soit sa forme. L'équipement qu'il porte ou transporte ne se transforme pas. Il retrouve sa forme véritable s'il meurt."
92,Vision de diable, Des ténèbres magiques ne gênent pas la vision dans le noir du diablotin.
92,Résistance à la magie, Le diablotin a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
93,Aura de peur," Toute créature hostile au diantrefosse qui commence son tour à 6 mètres ou moins de lui doit effectuer un jet de sauvegarde de Sagesse DD 21, à moins que le diantrefosse ne soit incapable d'agir. En cas d'échec, la créature est effrayée jusqu'au début de son prochain tour. Si le jet de sauvegarde d'une créature est une réussite, la créature est immunisée contre l'Aura de peur du diantrefosse pour les prochaines 24 heures."
93,Résistance à la magie, Le diantrefosse a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
93,Armes magiques, Les attaques avec une arme du diantrefosse sont magiques.
93,Incantation innée," La caractéristique d'incantation innée du diantrefosse est le Charisme (jet de sauvegarde contre ses sorts DD 21). Le diantrefosse peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :"
94,Disparition élémentaire," Si le djinn meurt, son corps se désintègre en une chaude brise, ne laissant derrière lui que l'équipement que le djinn portait ou transportait."
