Id,Nom,Type,Taille,Alignement,CA,PV,Force,Dexterite,Constitution,Intelligence,Sagesse,Charisme,Competences,Jets de sauvegarde,Immunités aux dégâts,Résistances aux dégâts,Immunités aux états,Sens,Langues,FP
16,Arcanaloth,Fiélon (yugoloth) , M, neutre mauvais, 17 (armure naturelle),104 (16d8 + 32),17 (+3),12 (+1),14 (+2),20 (+5),16 (+3),17 (+3)," Arcanes +13, Intuition +9, Perception +7, Tromperie +9"," Dex +5, Int +9, Sag +7, Cha +7"," acide, poison"," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques"," charmé, empoisonné"," vision véritable 36 m, Perception passive 17"," toutes, télépathie 36 m", 12 (8400 PX)
17,Archimage,Humanoïde (toute race) , M, tout alignement," 12 (15 avec <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=armure-de-mage"">armure de mage</a></em>)",99 (18d8 + 18),10 (+0),14 (+2),12 (+1),20 (+5),15 (+2),16 (+3)," Arcanes +13, Histoire +13"," Int +9, Sag +6",," dégâts des sorts ; contondant, perforant et tranchant non magiques (sort <em>peau de pierre</em>)",, Perception passive 12, six langues au choix, 12 (8400 PX)
18,Armure animée,Artificiel , M, sans alignement, 18 (armure naturelle),33 (6d8 + 6),14 (+2),11 (+0),13 (+1),1 (-5),3 (-4),1 (-5),,," poison, psychique",," assourdi, aveuglé, charmé, empoisonné, épuisement, paralysé, pétrifié, effrayé"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 6", —, 1 (200 PX)
19,Assassin,Humanoïde (toute race) , M, tout alignement non bon, 15 (armure de cuir clouté),78 (12d8 + 24),11 (+0),16 (+3),14 (+2),13 (+1),11 (+0),10 (+0)," Acrobaties +6, Discrétion +9, Perception +3, Tromperie +3"," Dex +6, Int +4",, poison,, Perception passive 13, jargon des voleurs plus deux langues au choix, 8 (3900 PX)
20,Azer,Élémentaire , M, loyal neutre," 17 (armure naturelle, bouclier)",39 (6d8 + 12),17 (+3),12 (+1),15 (+2),12 (+1),13 (+1),10 (+0),, Con +4," feu, poison",, empoisonné, Perception passive 11, igné, 2 (450 PX)
21,Babélien,Aberration , M, neutre, 9,67 (9d8 + 27),10 (+0),8 (-1),16 (+3),3 (-4),10 (+0),6 (-2),,,,, à terre," vision dans le noir 18 m, Perception passive 10", —, 2 (450 PX)
22,Babouin,Bête , P, sans alignement, 12,3 (1d6),8 (-1),14 (+2),11 (+0),4 (-3),12 (+1),6 (-2),,,,,, Perception passive 11, —, 0 (10 PX)
23,Balor,Fiélon (démon) , TG, chaotique mauvais, 19 (armure naturelle),262 (21d12 + 126),26 (+8),15 (+2),22 (+6),20 (+5),16 (+3),22 (+6),," For +14, Con +12, Sag +9, Cha +12"," feu, poison"," foudre, froid ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision véritable 36 m, Perception passive 13"," abyssal, télépathie 36 m", 19 (22000 PX)
24,Bandit,Humanoïde (toute race) , M, tout alignement non loyal, 12 (armure de cuir),11 (2d8 + 2),11 (+0),12 (+1),12 (+1),10 (+0),10 (+0),10 (+0),,,,,, Perception passive 10, une langue au choix (généralement le commun), 1/8 (25 PX)
25,"Bandit, capitaine",Humanoïde (toute race) , M, tout alignement non loyal, 15 (armure de cuir clouté),65 (10d8 + 20),15 (+2),16 (+3),14 (+2),14 (+2),11 (+0),14 (+2)," Athlétisme +4, Tromperie +4"," For +4, Dex +5, Sag +2",,,, Perception passive 10, deux langues au choix, 2 (450 PX)
26,Banshie,Mort-vivant , M, chaotique mauvais, 12,58 (13d8),1 (-5),14 (+2),10 (+0),12 (+1),11 (+0),17 (+3),," Sag +2, Cha +5"," froid, nécrotique, poison"," acide, foudre, feu, tonnerre ; contondant, perforant et tranchant d'attaques non magiques"," à terre, charmé, empoisonné, agrippé, entravé, épuisement, paralysé, pétrifié, effrayé"," vision dans le noir 18 m, Perception passive 10"," commun, elfique", 4 (1100 PX)
27,Barlgura,Fiélon (démon) , G, chaotique mauvais, 15 (armure naturelle),68 (8d10 + 24),18 (+4),15 (+2),16 (+3),7 (-2),14 (+2),9 (-1)," Discrétion +5, Perception +5"," Dex +5, Con +6", poison," froid, feu, foudre", empoisonné," vision aveugle 9 m, vision dans le noir 36 m, Perception passive 15"," abyssal, télépathie 36 m", 5 (1800 PX)
28,Basilic,Monstruosité , M, sans alignement, 15 (armure naturelle),52 (8d8 + 16),16 (+3),8 (-1),15 (+2),2 (-4),8 (-1),7 (-2),,,,,," vision dans le noir 18 m, Perception passive 9", —, 3 (700 PX)
29,Bec de hache,Bête , G, sans alignement, 11,19 (3d10 + 3),14 (+2),12 (+1),12 (+1),2 (-4),10 (+0),5 (-3),,,,,, Perception passive 10, —, 1/4 (50 PX)
30,Béhir,Monstruosité , TG, neutre mauvais, 17 (armure naturelle),168 (16d12 + 64),23 (+6),16 (+3),18 (+4),7 (-2),14 (+2),12 (+1)," Discrétion +7, Perception +6",, foudre,,," vision dans le noir 27 m, Perception passive 16", draconique, 11 (7200 PX)
31,Belette,Bête , TP, sans alignement, 13,1 (1d4 - 1),3 (-4),16 (+3),8 (-1),2 (-4),12 (+1),3 (-4)," Discrétion +5, Perception +3",,,,, Perception passive 13, —, 0 (10 PX)
32,Belette géante,Bête , M, sans alignement, 13,9 (2d8),11 (+0),16 (+3),10 (+0),4 (-3),12 (+1),5 (-3)," Discrétion +5, Perception +3",,,,," vision dans le noir 18 m, Perception passive 13", —, 1/8 (25 PX)
33,Berserker,Humanoïde (toute race) , M, tout alignement chaotique, 13 (armure de peaux),67 (9d8 + 27),16 (+3),12 (+1),17 (+3),9 (-1),11 (+0),9 (-1),,,,,, Perception passive 10, une langue au choix (généralement le commun), 2 (450 PX)
34,Bête éclipsante,Monstruosité , G, loyal mauvais, 13 (armure naturelle),85 (10d10 + 30),18 (+4),15 (+2),16 (+3),6 (-2),12 (+1),8 (-1),,,,,," vision dans le noir 18 m, Perception passive 11", —, 3 (700 PX)
35,Blaireau,Bête , TP, sans alignement, 10,3 (1d4 + 1),4 (-3),11 (+0),12 (+1),2 (-4),12 (+1),5 (-3),,,,,," vision dans le noir 9 m, Perception passive 11", —, 0 (10 PX)
36,Blaireau géant,Bête , M, sans alignement, 10,13 (2d8 + 4),13 (+1),10 (+0),15 (+2),2 (-4),12 (+1),5 (-3),,,,,," vision dans le noir 9 m, Perception passive 11", —, 1/4 (50 PX)
37,Blême,Mort-vivant , M, chaotique mauvais, 13,36 (8d8),16 (+3),17 (+3),10 (+0),11 (+0),10 (+0),8 (-1),,, poison, nécrotique," charmé, épuisement, empoisonné"," vision dans le noir 18 m, Perception passive 10", commun, 2 (450 PX)
38,Brutacien,Humanoïde (brutacien) , M, neutre mauvais," 15 (armure de peaux, bouclier)",11 (2d8 + 2),12 (+1),12 (+1),13 (+1),7 (-2),10 (+0),7 (-2), Discrétion +3,,,,, Perception passive 10, brutacien, 1/4 (50 PX)
39,Bulette,Monstruosité , G, sans alignement, 17 (armure naturelle),94 (9d10 + 45),19 (+4),11 (+0),21 (+5),2 (-4),10 (+0),5 (-3), Perception +6,,,,," vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 16", —, 5 (1800 PX)
40,Cambion,Fiélon , M, tout alignement mauvais, 19 (armure d'écailles),82 (11d8 + 33),18 (+4),18 (+4),16 (+3),14 (+2),12 (+1),16 (+3)," Discrétion +7, Intimidation +6, Perception +4, Tromperie +6"," For +7, Con +6, Int +5, Cha +6",," foudre, feu, froid, poison ; contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 14"," abyssal, commun, infernal", 5 (1800 PX)
41,Centaure,Monstruosité , G, neutre bon, 12,45 (6d10 + 12),18 (+4),14 (+2),14 (+2),9 (-1),13 (+1),11 (+0)," Athlétisme +6, Perception +3, Survie +3",,,,, Perception passive 13," elfique, sylvestre", 2 (450 PX)
42,Cerf,Bête , M, sans alignement, 13,4 (1d8),11 (+0),16 (+3),11 (+0),2 (-4),14 (+2),5 (-3),,,,,, Perception passive 12, —, 0 (10 PX)
43,Chacal,Bête , P, sans alignement, 12,3 (1d6),8 (-1),15 (+2),11 (+0),3 (-4),12 (+1),6 (-2), Perception +3,,,,, Perception passive 13, —, 0 (10 PX)
44,Chameau,Bête , G, sans alignement, 9,15 (2d10 + 4),16 (+3),8 (-1),14 (+2),2 (-4),8 (-1),5 (-3),,,,,, Perception passive 9, —, 1/8 (25 PX)
45,Charognard rampant,Monstruosité , G, sans alignement, 13 (armure naturelle),51 (6d10 + 18),14 (+2),13 (+1),16 (+3),1 (-5),12 (+1),5 (-3), Perception +3,,,,," vision dans le noir 18 m, Perception passive 13", —, 2 (450 PX)
46,Chasme,Fiélon (démon) , G, chaotique mauvais, 15 (armure naturelle),84 (13d10 + 13),15 (+2),15 (+2),12 (+1),11 (+0),14 (+2),10 (+0), Perception +5," Dex +5, Sag +5", poison," froid, feu, foudre", empoisonné," vision aveugle 3 m, vision dans le noir 36 m, Perception passive 15"," abyssal, télépathie 36 m", 6 (2300 PX)
47,Chat,Bête , TP, sans alignement, 12,2 (1d4),3 (-4),15 (+2),10 (+0),3 (-4),12 (+1),7 (-2)," Discrétion +4, Perception +3",,,,, Perception passive 13, —, 0 (10 PX)
48,Chauve-souris,Bête , TP, sans alignement, 12,1 (1d4 - 1),2 (-4),15 (+2),8 (-1),2 (-4),12 (+1),4 (-3),,,,,," vision aveugle 18 m, Perception passive 11", —, 0 (10 PX)
49,Chauve-souris géante,Bête , G, sans alignement, 13,22 (4d10),15 (+2),16 (+3),11 (+0),2 (-4),12 (+1),6 (-2),,,,,," vision aveugle 18 m, Perception passive 11", —, 1/4 (50 PX)
50,Cheval de guerre,Bête , G, sans alignement, 11,19 (3d10 + 3),18 (+4),12 (+1),13 (+1),2 (-4),12 (+1),7 (-2),,,,,, Perception passive 11, —, 1/2 (100 PX)
51,Cheval de selle,Bête , G, sans alignement, 10,13 (2d10 + 2),16 (+3),10 (+0),12 (+1),2 (-4),11 (+0),7 (-2),,,,,, Perception passive 10, —, 1/4 (50 PX)
52,Cheval de trait,Bête , G, sans alignement, 10,19 (3d10 + 3),18 (+4),10 (+0),12 (+1),2 (-4),11 (+0),7 (-2),,,,,, Perception passive 10, —, 1/4 (50 PX)
53,Chevalier,Humanoïde (toute race) , M, tout alignement, 18 (harnois),52 (8d8 + 16),16 (+3),11 (+0),14 (+2),11 (+0),11 (+0),15 (+2),," Con +4, Sag +2",,,, Perception passive 10, une langue au choix (généralement le commun), 3 (700 PX)
54,Chevalier de la mort,Mort-vivant , M, chaotique mauvais," 20 (harnois, bouclier)",180 (19d8 + 95),20 (+5),11 (+0),20 (+5),12 (+1),16 (+3),18 (+4),," Dex +6, Sag +9, Cha +10"," nécrotique, poison",," effrayé, épuisement, empoisonné"," vision dans le noir 36 m, Perception passive 13"," abyssal, commun", 17 (18000 PX)
55,Chèvre,Bête , M, sans alignement, 10,4 (1d8),12 (+1),10 (+0),11 (+0),2 (-4),10 (+0),5 (-3),,,,,, Perception passive 10, —, 0 (10 PX)
56,Chèvre géante,Bête , G, sans alignement, 11 (armure naturelle),19 (3d10 + 3),17 (+3),11 (+0),12 (+1),3 (-4),12 (+1),6 (-2),,,,,, Perception passive 11, —, 1/2 (100 PX)
57,Chien de chasse infernal,Fiélon , M, loyal mauvais, 15 (armure naturelle),45 (7d8 + 14),17 (+3),12 (+1),14 (+2),6 (-2),13 (+1),6 (-2), Perception +5,, feu,,," vision dans le noir 18 m, Perception passive 15", comprend l'infernal mais ne peut pas parler, 3 (700 PX)
58,Chien du trépas,Monstruosité , M, neutre mauvais, 12,39 (6d8 + 12),15 (+2),14 (+2),14 (+2),3 (-4),13 (+1),6 (-2)," Discrétion +4, Perception +5",,,,," vision dans le noir 36 m, Perception passive 15", —, 1 (200 PX)
59,Chien esquiveur,Fée , M, loyal bon, 13,22 (4d8 + 4),12 (+1),17 (+3),12 (+1),10 (+0),13 (+1),11 (+0)," Discrétion +5, Perception +3",,,,, Perception passive 13," chien esquiveur, comprend le sylvestre mais ne peut pas le parler", 1/4 (50 PX)
60,Chimère,Monstruosité , G, chaotique mauvais, 14 (armure naturelle),114 (12d10 + 48),19 (+4),11 (+0),19 (+4),3 (-4),14 (+2),10 (+0), Perception +8,,,,," vision dans le noir 18 m, Perception passive 18", comprend le draconique mais ne peut pas parler, 6 (2300 PX)
61,Chouette,Bête , TP, sans alignement, 11,1 (1d4 - 1),3 (-4),13 (+1),8 (-1),2 (-4),12 (+1),7 (-2)," Discrétion +3, Perception +3",,,,," vision dans le noir 36 m, Perception passive 13", —, 0 (10 PX)
62,Chouette géante,Bête , G, neutre, 12,19 (3d10 + 3),13 (+1),15 (+2),12 (+1),8 (-1),13 (+1),10 (+0)," Discrétion +4, Perception +5",,,,," vision dans le noir 36 m, Perception passive 15"," Une chouette géante comprend le commun, l'elfique et le sylvestre mais ne peut pas les parler", 1/4 (50 PX)
63,Chuul,Aberration , G, chaotique mauvais, 16 (armure naturelle),93 (11d10 + 33),19 (+4),10 (+0),16 (+3),5 (-3),11 (+0),5 (-3), Perception +4,, poison,, empoisonné," vision dans le noir 18 m, Perception passive 14", comprend le profond mais ne peut pas parler, 4 (1100 PX)
64,Cockatrice,Monstruosité , P, sans alignement, 11,27 (6d6 + 6),6 (-2),12 (+1),12 (+1),2 (-4),13 (+1),5 (-3),,,,,," vision dans le noir 18 m, Perception passive 11", —, 1/2 (100 PX)
65,Corbeau,Bête , TP, sans alignement, 12,1 (1d4 - 1),2 (-4),14 (+2),8 (-1),2 (-4),12 (+1),6 (-2), Perception +3,,,,, Perception passive 13, —, 0 (10 PX)
66,Couatl,Céleste , M, loyal bon, 19 (armure naturelle),97 (13d8 + 39),16 (+3),20 (+5),17 (+3),18 (+4),20 (+5),18 (+4),," Con +5, Sag +7, Cha +6"," psychique ; contondant, perforant et tranchant d'attaques non magiques", radiant,," vision véritable 36 m, Perception passive 15"," toutes, télépathie 36 m", 4 (1100 PX)
67,Crabe,Bête , TP, sans alignement, 11 (armure naturelle),2 (1d4),2 (-4),11 (+0),10 (+0),1 (-5),8 (-1),2 (-4), Discrétion +2,,,,," vision aveugle 9 m, Perception passive 9", —, 0 (10 PX)
68,Crabe géant,Bête , M, sans alignement, 15 (armure naturelle),13 (3d8),13 (+1),15 (+2),11 (+0),1 (-5),9 (-1),3 (-4), Discrétion +4,,,,," vision aveugle 9 m, Perception passive 9", —, 1/8 (25 PX)
69,Crânefeu,Mort-vivant , TP, neutre mauvais, 13,40 (9d4 + 18),1 (-5),17 (+3),14 (+2),16 (+3),10 (+0),11 (+0)," Arcanes +5, Perception +2",," feu, froid, poison"," foudre, nécrotique, perforant"," à terre, charmé, empoisonné, paralysé, effrayé"," vision dans le noir 18 m, Perception passive 12", commun, 4 (1100 PX)
70,Crapaud géant,Bête , G, sans alignement, 11,39 (6d10 + 6),15 (+2),13 (+1),13 (+1),2 (-4),10 (+0),3 (-4),,,,,," vision dans le noir 9 m, Perception passive 10", —, 1 (200 PX)
71,Criard,Plante , M, sans alignement, 5,13 (3d8),1 (-5),1 (-5),10 (+0),1 (-5),3 (-4),1 (-5),,,,," aveuglé, assourdi, effrayé"," vision aveugle 9 m (aveugle au-delà de ce rayon), Perception passive 6", —, 0 (10 PX)
72,Crocodile,Bête , G, sans alignement, 12 (armure naturelle),19 (3d10 + 3),15 (+2),10 (+0),13 (+1),2 (-4),10 (+0),5 (-3), Discrétion +2,,,,, Perception passive 10, —, 1/2 (100 PX)
73,Crocodile géant,Bête , TG, sans alignement, 14 (armure naturelle),85 (9d12 + 27),21 (+5),9 (-1),17 (+3),2 (-4),10 (+0),7 (-2), Discrétion +5,,,,, Perception passive 10, —, 5 (1800 PX)
74,Cube gélatineux,Vase , G, sans alignement, 6,84 (8d10 + 40),14 (+2),3 (-4),20 (+5),1 (-5),6 (-2),1 (-5),,,,," assourdi, à terre, aveuglé, charmé, effrayé, épuisement"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 8", —, 2 (450 PX)
75,Cultiste,Humanoïde (toute race) , M, tout alignement non bon, 12 (armure de cuir),9 (2d8),11 (+0),12 (+1),10 (+0),10 (+0),11 (+0),10 (+0)," Religion +2, Tromperie +2",,,,, Perception passive 10, une langue au choix (généralement le commun), 1/8 (25 PX)
76,Cyclope,Géant , TG, chaotique neutre, 14 (armure naturelle),138 (12d12 + 60),22 (+6),11 (+0),20 (+5),8 (-1),6 (-2),10 (+0),,,,,, Perception passive 8, géant, 6 (2300 PX)
77,Dao,Élémentaire , G, neutre mauvais, 18 (armure naturelle),187 (15d10 + 105),23 (+6),12 (+1),24 (+7),12 (+1),13 (+1),14 (+2),," Int +5, Sag +5, Cha +6",,, pétrifié," vision dans le noir 36 m, Perception passive 11", terreux, 11 (7200 PX)
78,"Demi-dragon rouge, vétéran",Humanoïde (humain) , M, tout alignement, 18 (harnois),65 (10d8 + 20),16 (+3),13 (+1),14 (+2),10 (+0),11 (+0),10 (+0)," Athlétisme +5, Perception +2",,, feu,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 12"," commun, draconique", 5 (1800 PX)
79,Demi-liche,Mort-vivant , TP, neutre mauvais, 20 (armure naturelle),80 (32d4),1 (-5),20 (+5),10 (+0),20 (+5),17 (+3),20 (+5),," Con +6, Int +11, Sag +9, Cha +11"," nécrotique, poison, psychique ; contondant, perforant et tranchant d'attaques non magiques"," contondant, perforant et tranchant d'attaques magiques"," charmé, assourdi, épuisement, effrayé, paralysé, pétrifié, empoisonné, à terre, étourdi"," vision véritable 36 m, Perception passive 13", —, 18 (20000 PX)
80,Demi-ogre,Géant , G, tout alignement chaotique, 12 (armure de peaux),30 (4d10 + 8),17 (+3),10 (+0),14 (+2),7 (-2),9 (-1),10 (+0),,,,,," vision dans le noir 18 m, Perception passive 9"," commun, géant", 1 (200 PX)
81,Démon des ombres,Fiélon (démon) , M, chaotique mauvais, 13,66 (12d8 + 12),1 (-5),17 (+3),12 (+1),14 (+2),13 (+1),14 (+2), Discrétion +7, Dex +5 Cha +4," froid, foudre, poison"," acide, feu, nécrotique, tonnerre ; contondant, perforant et tranchant d'attaques non magiques"," épuisement, agrippé, paralysé, pétrifié, empoisonné, à terre, entravé"," vision dans le noir 36 m, Perception passive 11"," abyssal, télépathie 36 m", 4 (1100 PX)
82,Destrier noir,Fiélon , G, neutre mauvais, 13 (armure naturelle),68 (8d10 + 24),18 (+4),15 (+2),16 (+3),10 (+0),13 (+1),15 (+2),,, feu,,, Perception passive 11," comprend l'abyssal, le commun et l'infernal mais ne peut pas parler", 3 (700 PX)
83,Déva,Céleste , M, loyal bon, 17 (armure naturelle),136 (16d8 + 64),18 (+4),18 (+4),18 (+4),17 (+3),20 (+5),20 (+5)," Intuition +9, Perception +9"," Sag +9, Cha +9",," radiant ; contondant, perforant et tranchant d'attaques non magiques"," charmé, effrayé, épuisement"," vision dans le noir 36 m, Perception passive 19"," toutes, télépathie 36 m", 10 (5900 PX)
84,Dévoreur d'intellect,Aberration , TP, loyal mauvais, 12,21 (6d4 + 6),6 (-2),14 (+2),13 (+1),12 (+1),11 (+0),10 (+0)," Discrétion +4, Perception +2",,," contondant, perforant et tranchant d'attaques non magiques", aveuglé," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 12"," comprend le profond mais ne peut pas parler, télépathie 18 m", 2 (450 PX)
85,Diable à chaînes,Fiélon (diable) , M, loyal mauvais, 16 (armure naturelle),85 (10d8 + 40),18 (+4),15 (+2),18 (+4),11 (+0),12 (+1),14 (+2),," Con +7, Sag +4, Cha +5"," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision dans le noir 36 m, Perception passive 11"," infernal, télépathie 36 m", 8 (3900 PX)
86,Diable barbelé,Fiélon (diable) , M, loyal mauvais, 15 (armure naturelle),110 (13d8 + 52),16 (+3),17 (+3),18 (+4),12 (+1),14 (+2),14 (+2)," Intuition +5, Perception +8, Tromperie +5"," For +6, Con +7, Sag +5, Cha +5"," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision dans le noir 36 m, Perception passive 18"," infernal, télépathie 36 m", 5 (1800 PX)
87,Diable barbu,Fiélon (diable) , M, loyal mauvais, 13 (armure naturelle),52 (8d8 + 16),16 (+3),15 (+2),15 (+2),9 (-1),11 (+0),11 (+0),," For +5, Con +4, Sag +2"," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision dans le noir 36 m, Perception passive 10"," infernal, télépathie 36 m", 3 (700 PX)
88,Diable cornu,Fiélon (diable) , G, loyal mauvais, 18 (armure naturelle),178 (17d10 + 85),22 (+6),17 (+3),21 (+5),12 (+1),16 (+3),17 (+3),," For +10, Dex +7, Sag +7, Cha +7"," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision dans le noir 36 m, Perception passive 13"," infernal, télépathie 36 m", 11 (7200 PX)
89,Diable épineux,Fiélon (diable) , P, loyal mauvais, 13 (armure naturelle),22 (5d6 + 5),10 (+0),15 (+2),12 (+1),11 (+0),14 (+2),8 (-1),,," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision dans le noir 36 m, Perception passive 12"," infernal, télépathie 36 m", 2 (450 PX)
90,Diable gelé,Fiélon (diable) , G, loyal mauvais, 18 (armure naturelle),180 (19d10 + 76),21 (+5),14 (+2),18 (+4),18 (+4),15 (+2),18 (+4),," Dex +7, Con +9, Sag +7, Cha +9"," froid, feu, poison"," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 12"," infernal, télépathie 36 m", 14 (11500 PX)
91,Diable osseux,Fiélon (diable) , G, loyal mauvais, 19 (armure naturelle),142 (15d10 + 60),18 (+4),16 (+3),18 (+4),13 (+1),14 (+2),16 (+3)," Intuition +6, Tromperie +7"," Int +5, Sag +6, Cha +7"," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision dans le noir 36 m, Perception passive 12"," infernal, télépathie 36 m", 9 (5000 PX)
92,Diablotin,"Fiélon (diable, métamorphe) ", TP, loyal mauvais, 13,10 (3d4 + 3),6 (-2),17 (+3),13 (+1),11 (+0),12 (+1),14 (+2)," Discrétion +5, Intuition +3, Persuasion +4, Tromperie +4",," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision dans le noir 36 m, Perception passive 11"," infernal, commun", 1 (200 PX)
93,Diantrefosse,Fiélon (diable) , G, loyal mauvais, 19 (armure naturelle),300 (24d10 + 168),26 (+8),14 (+2),24 (+7),22 (+6),18 (+4),24 (+7),," Dex +8, Con +13, Sag +10"," feu, poison"," froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", empoisonné," vision véritable 36 m, Perception passive 14"," infernal, télépathie 36 m", 20 (25000 PX)
